"Category";"Asset_Name";"Full_Path";"Play_Length";"Skeleton";"Description";"Curated";"Since"
"TBD";"1s_eyes_close_no_yawn_head_down_AM21AM20";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_down_AM21AM20.1s_eyes_close_no_yawn_head_down_AM21AM20";"4,04";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_down_ER03ER21";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_down_ER03ER21.1s_eyes_close_no_yawn_head_down_ER03ER21";"3,58";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_down_HS06ER02";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_down_HS06ER02.1s_eyes_close_no_yawn_head_down_HS06ER02";"2,62";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_down_KE10RT28";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_down_KE10RT28.1s_eyes_close_no_yawn_head_down_KE10RT28";"3";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_down_OH07ER07";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_down_OH07ER07.1s_eyes_close_no_yawn_head_down_OH07ER07";"3,12";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_down_SP05NZ29";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_down_SP05NZ29.1s_eyes_close_no_yawn_head_down_SP05NZ29";"3";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_left_AM21AM20";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_left_AM21AM20.1s_eyes_close_no_yawn_head_left_AM21AM20";"4,08";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_left_ER03ER21";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_left_ER03ER21.1s_eyes_close_no_yawn_head_left_ER03ER21";"2,75";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_left_HS06ER02";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_left_HS06ER02.1s_eyes_close_no_yawn_head_left_HS06ER02";"3,3";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_left_KE10RT28";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_left_KE10RT28.1s_eyes_close_no_yawn_head_left_KE10RT28";"2,79";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_left_OH07ER07";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_left_OH07ER07.1s_eyes_close_no_yawn_head_left_OH07ER07";"3,88";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_left_SP05NZ29";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_left_SP05NZ29.1s_eyes_close_no_yawn_head_left_SP05NZ29";"3,21";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_right_AM21AM20";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_right_AM21AM20.1s_eyes_close_no_yawn_head_right_AM21AM20";"3,54";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
"TBD";"1s_eyes_close_no_yawn_head_right_ER03ER21";"/Game/Animations/Capture_Animations/Livelink_Microsleep_Jan_2025/1s_eyes_close_no_yawn_head_right_ER03ER21.1s_eyes_close_no_yawn_head_right_ER03ER21";"4,29";"/Game/MetaHumans/Common/Face/Face_Archetype_Skeleton.Face_Archetype_Skeleton";"TBD";"False";""
